source_url,pdf_url,saved_filename,filesize_bytes,sha256,http_status,title_text,timestamp
https://www.commbank.com.au/business/bank-accounts.html?ei=stage_BusAcc#specialised,https://www.commbank.com.au/content/dam/commbank/business/pds/ADB2916.pdf,fcbb8e16_ADB2916.pdf,418370,fcbb8e1629f17cc678183a036a3c05589412680a29027962358b2d9e894478fe,200,,1755864029
https://www.commbank.com.au/personal/insurance.html#skipmaincontent,https://www.commbank.com.au/content/dam/commbank-assets/insurance/docs/world-debit-mastercard-insurances-pds.pdf,3dc28176_world-debit-mastercard-insurances-pds.pdf,7372115,3dc28176348d9b1df73b868a1e20327ad8bbdf9eb532f92c044545be5438403a,200,,1755864032
https://www.commbank.com.au/personal/insurance.html#skiplogon,https://www.commbank.com.au/content/dam/commbank-assets/insurance/docs/world-debit-mastercard-insurances-pds.pdf,3dc28176_world-debit-mastercard-insurances-pds.pdf,7372115,3dc28176348d9b1df73b868a1e20327ad8bbdf9eb532f92c044545be5438403a,200,,1755864036
https://www.commbank.com.au/business/business-credit-cards/business-low-rate-credit-card.html?ei=bhp_sixpack_low-rate-cc,https://www.commbank.com.au/content/dam/commbank/business/pds/003-840-personal-liability-card-fees.pdf,36e30f35_003-840-personal-liability-card-fees.pdf,60525,36e30f358bd485b54efd7205e58519735ddadfbad49a5443cceceb8c520bfe49,200,,1755864037
https://www.commbank.com.au/business/bank-accounts.html?ei=stage_BusAcc#skipmaincontent,https://www.commbank.com.au/content/dam/commbank/business/pds/ADB2684.pdf,786a6201_ADB2684.pdf,73067,786a6201ecc174ae3d0a337235549057091bfe7480dfac82280e1c84ae301579,200,,1755864039
https://www.commbank.com.au/business.html?ei=mv_business#skipsearch,https://www.commbank.com.au/content/dam/commbank-assets/business/banking/docs/007-099-bia-terms.pdf,3726e60f_007-099-bia-terms.pdf,217243,3726e60fb518d0150b9d85361be0265e2a6049c96444a64fbf00a01cf2957275,200,,1755864040
https://www.commbank.com.au/business.html?ei=mv_business#content_module11740699494716ff2dc6ac-60a0-40f8-bb86-d7e6a23dfe6f,https://www.commbank.com.au/personal/apply-online/download-printed-forms/ElectronicBanking_ADB2426.pdf,cd35c198_ElectronicBanking_ADB2426.pdf,640665,cd35c1985973e659b8cdf831c6b41b39b595058f59f244c4d65183c9f03cf486,200,,1755864041
https://www.commbank.com.au/business.html?ei=mv_business#content_module11740699494716ff2dc6ac-60a0-40f8-bb86-d7e6a23dfe6f,https://www.commbank.com.au/content/dam/commbank/business/pds/ADB2684.pdf,786a6201_ADB2684.pdf,73067,786a6201ecc174ae3d0a337235549057091bfe7480dfac82280e1c84ae301579,200,,1755864043
https://www.commbank.com.au/business.html?ei=mv_business,https://www.commbank.com.au/personal/apply-online/download-printed-forms/ElectronicBanking_ADB2426.pdf,cd35c198_ElectronicBanking_ADB2426.pdf,640665,cd35c1985973e659b8cdf831c6b41b39b595058f59f244c4d65183c9f03cf486,200,,1755864044
https://www.commbank.com.au/business.html?ei=mv_business,https://www.commbank.com.au/content/dam/commbank/business/pds/ADB2684.pdf,786a6201_ADB2684.pdf,73067,786a6201ecc174ae3d0a337235549057091bfe7480dfac82280e1c84ae301579,200,,1755864046
https://www.commbank.com.au/personal/insurance.html#skipsearch,https://www.commbank.com.au/content/dam/commbank-assets/insurance/docs/income-protection-pds.pdf,eb4f0dd1_income-protection-pds.pdf,808550,eb4f0dd18a6f92607307a7804ea65d60b8e34182d07272b2b6982761f3fe3c98,200,,1755864047
